Target City,Total Weight (Tons)
JUVINCOURT,1647.0
JUVISY SUR ORGE,527.0
JUZENNECOURT,1233.0
KEMBS,72.0
KERDREIN,144.0
KERLIN,1248.0
L ISLE ADAM,954.0
LA BARBERIE,114.0
LA BARRE,0.0
LA BASSEE,7.0
LA BELLE,76.0
LA BELLE HOTESSE,198.0
LA BRETEQUE,169.0
LA CHAPELLE EN JAGE,1876.0
LA CHENAIE,140.0
LA CROISILLE,218.0
LA FAVERIE,132.0
LA FERRIERE AU DOYE,128.0
LA FERRIERE BACHET,21.0
LA FERTE BERNARD,87.0
LA FERTE MACE,70.0
LA FOSSE CORDUAN,315.0
LA FRILLIERE,274.0
LA GLACERIE,795.0
LA GLORAIRE,159.0
LA GOUESNIERE,68.0
LA GRANDE VALLEE,480.0
LA GRAVERIE,64.0
LA HAYE,1728.0
LA HAYE DU PUITS,182.0
LA HAYE PESNEL,93.0
LA HOLLANDE,60.0
LA HOUSSOYE,618.0
LA LOUPE,351.0
LA MARRE,88.0
LA MEILLARD,72.0
LA MORINIERE,14.0
LA PALLICE,2482.0
LA PERNELLE,1243.0
LA PHILIBERTE FERME,88.0
LA POSSONIERE,294.0
LA POTSVIE AU PENCH,18.0
LA POURCHINTE,282.0
LA PUISAYE,78.0
LA RABELLERIE,78.0
LA RICAMARIE,78.0
LA ROCHE SUR YON,286.0
LA ROCHELLE,447.0
LA ROUPIE,76.0
LA SORELLERIE,52.0
LA VOULTE SUR RHONE,132.0
LABROYE,264.0
LAIGLE,739.0
LAMBERS,140.0
LAMBUS,351.0
LANDES DE BUSSAC,99.0
LANEUVILLE,340.0
LANNION,46.0
LAON,7259.0
LAPENNE,153.0
LAUNAY,92.0
LAVAL,1936.0
LAVAUPLIERE,90.0
LAYE LEBELLES MARTIN,180.0
LE BOURG,216.0
LE BOURGET,2568.0
LE CHATELET,309.0
LE CLIPON,710.0
LE COMBE,48.0
LE CREUSIL,24.0
LE CREUSOT,2020.0
LE GRAND ROSSIGNOL,497.0
LE GROSEILLER,63.0
LE HAVRE,16690.0
LE HOULME,108.0
LE LENTIE,50.0
LE LIEGE,24.0
LE MAGDELAINE,64.0
LE MANOIR,770.0
LE MANS,5564.0
LE MESGE,66.0
LE MESNIL ALLARD,152.0
LE MESNIL AMEY,78.0
LE NEUBOURG,21.0
LE NIEPPE,445.0
LE PETIT BOIS ROBERT,93.0
LE PLOUY FERME,140.0
LE PONTET,504.0
